fqcn	textChars
star.acoustics.ui.ReceiverManagerNode.NewReceiverAction	4119
star.acoustics.ui.ReceiverNode	8602
star.acoustics.ui.ReceiverTableNode	7073
star.acoustics.ui.ResetAcousticWaveAction	4284
star.acoustics.ui.SngrSolverAction	4216
star.acoustics.ui.SngrSolverNode	5853
star.acoustics.ui.SpongeLayerModelNode	5630
star.acoustics.ui.SurfacePressureSensorReportNode	6009
star.acoustics.ui.WaveEquationModelNode	6394
star.acoustics.UserDefinedNoiseSourceProfile	4308
star.acoustics.WallAcousticPressureOption	5827
star.acoustics.WallAcousticPressureOption.Type	3812
star.acoustics.WaveEquationModel	10461
star.acoustics.WaveEquationModelBase	5591
star.acoustics.WaveEquationSolver	9270
star.acoustics.WaveEquationSourceOption	5528
star.acoustics.WaveEquationSourceOption.Type	3609
star.amr.actions.AmrActionBase	4949
star.amr.actions.AmrClearAction	4521
star.amr.actions.AmrCoarsenAllAction	4573
star.amr.actions.AmrRefineAllAction	4562
star.amr.actions.AmrRefineAllDryRunAction	4393
star.amr.actions.AmrRefineCoarsenAction	4514
star.amr.AmrContextMenuProvider	857
star.amr.AmrCriterion	5949
star.amr.AmrCriterionAniso	5946
star.amr.AmrCriterionManager	5675
star.amr.AmrCriterionPrismAniso	5501
star.amr.AmrCriterionPrismRefinement	3585
star.amr.AmrFunctionProfileMethod	7042
star.amr.AmrInitStatus	3464
star.amr.AmrModel	15022
star.amr.AmrModelInitialMesh	3734
star.amr.AmrModelMode	3226
star.amr.AmrModelPrismRefinement	3756
star.amr.AmrOperation	3323
star.amr.AmrOption	4310
star.amr.AmrRequestProfile	4524
star.amr.AmrSolver	7385
star.amr.AmrStarUpdate	4913
star.amr.AmrTrigger	3231
star.amr.BoundaryReconstruction	4049
star.amr.BoundaryReconstructionOption	5458
star.amr.BoundaryReconstructionOption.Type	3678
star.amr.PrismRefinementOption	5544
star.amr.PrismRefinementOption.Type	3726
star.amr.PrismStackRefinementOption	4546
star.amr.RandomAmrCriterion	6367
star.amr.ui.AmrCriterionNode	6419
star.amr.ui.AmrModelNode	5718
star.amr.ui.AmrRequestProfileNode	6467
star.amr.ui.AmrSolverNode	5831
star.amr.UserDefinedAmrCriterion	7377
star.annotation.AnnotationUtils	2131
star.annotation.Internal	718
star.annotation.OnLoad	504
star.annotation.PackagePrivate	572
star.annotation.StarBeanBounded	3715
