fqcn	estrato	chars	tok_o200k	tok_anth
star.reactions.ElectronExcitationEnergyLoss	S3	4982	1000	1046
star.walldistance.BoundaryDistanceModel	S3	5889	1143	1219
star.meshing.SurfaceRepBoundaryManager	S3	5527	1117	1173
star.combustion.surfacechemistry.ui.DeleteBulkMixtureAction	S3	4555	844	983
star.vis.RayTraceEmissiveMaterial	S3	6221	1301	1386
star.battery.cellproperty.electrolyte.SolventElectroactiveOption	S3	5508	1134	1189
star.mapping.ui.BoundarySamplesDataMapperNode	S3	5984	1214	1371
star.coremodule.actions.MonitorsAction	S3	4660	856	998
star.cadmodeler.ReferencePlaneFromSurfacePreview	S3	4451	896	945
star.combustion.polymerization.PolymerScalarManager	S3	6209	1240	1314
star.cadmodeler.ui.CreateBodyGroupCircularPatternCutSceneAction	S3	5885	1116	1282
star.combustion.fgm.TurbulentSchmidtNumberProgressVariableVarianceProperty	S3	5504	1111	1173
star.combustion.CumulativeChemistryElapsedTimeReport	S3	6467	1283	1351
star.quickobjects.actions.QuickGeometryObjectActionManager	S3	4603	856	877
star.cadmodeler.PointSketchPrimitive3DOnSketch3DCurve	S3	6342	1322	1398
star.battery.cellproperty.internals.InternalsComponent	S3	5326	1072	1132
star.harmonicbalance.EffectiveViscosityHarmonicTimeFunction	S3	5867	1181	1229
star.coremodule.ui.treeselector.SelectorModelManager	S3	5284	973	1024
star.combustion.ui.AlwaysActivatorNode	S3	5800	1175	1334
star.base.report.CustomBands	S3	5487	1148	1205
star.common.graph.ui.SubsetDrawDataManagerBaseNode	S3	5582	1159	1299
star.cadmodeler.WireSketchPrimitive	S3	4285	837	887
star.quickobjects.QuickDerivedDataPointProbe	S3	5045	1027	1082
star.cadmodeler.ui.BRepToFacetActionBase	S3	6082	1173	1335
star.electropainting.InitialPaintElectricalResistanceAreaProfile	S3	4463	892	955
star.common.InterfaceMultithreadingOption	S3	4847	972	1034
star.windshield.DeIcingSolver	S3	4529	928	984
star.common.TypedObjectManager	S3	5838	1198	1258
star.circuit.ScalarCircuitElement	S3	5894	1170	1221
star.fea.properties.BeamTrapezoidalBoxSection	S3	4579	944	990
star.battery.ui.BatteryEnergySourceNode	S3	5762	1167	1304
star.cosimulation.reactingchannel.ReactingChannel1DModel	S3	4800	977	1035
star.electromagnetism.magneticpotential.LinearPermanentMagnetGeneralModel	S3	4499	913	973
star.eulerianmultiphasemasstransfer.DissolutionMassTransferRateModel	S3	5267	1062	1132
star.combustion.fgm.FgmMultipleHlrSpecificHeatMethod	S3	4561	942	995
star.combustion.surfacechemistry.ui.SurfaceArrheniusCoefficientsNode	S3	6015	1234	1387
star.cadmodeler.ui.UpdateModelUptoAction	S3	6448	1231	1388
star.timefreqcoupling.TimeFrequencyCouplingMethod	S3	4980	1006	1067
star.reactions.ElectrochemistryPotentialReactionType	S3	4591	927	972
star.meshing.ui.MeshPartDescriptionSourceNode	S4	7451	1467	1646
star.vis.ui.SceneNode	S4	11268	2239	2464
star.energy.HxActualFlowVolumetricUALTableEvalLeaf	S4	10165	2192	2289
star.cadmodeler.vis.SelectEdgesSketchPrimitivesState	S4	8432	1772	1863
star.reactions.SurfaceMechanismPhaseManager	S4	9437	1868	2018
star.base.report.OversetInterfaceReport	S4	7183	1410	1484
star.mdx.ui.MdxResourceManagerNode	S4	7705	1560	1734
star.combustion.ui.NumericalIgnitorNode	S4	7592	1533	1703
star.cadmodeler.CadPredicateEditor	S4	10880	2159	2274
star.combustion.surfacechemistry.SurfaceArrheniusCoefficientsBase	S4	7474	1482	1552
star.common.ui.StarIntegerField	S4	11748	2410	2567
star.vis.ui.ColorPaletteNode	S4	8639	1742	1914
star.base.report.MinMaxReportBase	S4	10043	1968	2060
star.coremodule.ui.EditViewPanel	S4	8682	1771	1874
star.cadmodeler.ui.ChamferNode	S4	6863	1407	1590
star.combustion.agglomeration.AgglomerationComponentManager	S4	7261	1454	1517
star.modalharmonic.ui.NormalModesRepresentationNode	S4	8024	1564	1743
star.combustion.IgnitorManager	S4	6960	1421	1486
star.flow.BackflowSpecification	S4	6943	1394	1449
star.vis.ui.IsoValueNode	S4	6587	1360	1519
star.mdx.ui.tables.MdxStudyDialogPanel	S4	10812	2246	2366
star.sixdof.ContinuumBody	S4	8457	1709	1790
star.base.query.ManagerWithQuery	S4	7156	1440	1536
star.acoustics.modalanalysis.UserFlameTransferFunction	S4	8328	1731	1805
star.mapping.ParcelDataMapper	S4	9035	1808	1930
star.common.ui.UserFieldFunctionNode	S4	7747	1533	1710
star.base.report.ui.DataSetFunctionManagerNode	S4	6957	1413	1567
star.firesmoke.ui.OpenBarrierListRenderer	S4	9851	2009	2137
star.thermalcomfort.FialaHypothalamusTemperatureReport	S4	6831	1369	1463
star.meshing.ui.SurfaceMeshWidgetGlobalPanel	S4	10090	2082	2245
star.extruder.SurfaceExtruderDirection	S4	6593	1290	1378
star.viscous.ViscousFilmCastingModel	S4	6759	1368	1453
star.mdx.MdxDataSetSizeChannel	S4	7835	1642	1689
star.starice.ui.StarIceQPSValuesEditor	S4	8254	1722	1828
star.combustion.ppdftable.PpdfEquilibriumTable	S4	7541	1588	1649
star.vdm.VirtualDiskReport	S4	6845	1347	1421
star.cadmodeler.ui.CadColorPanel	S4	9268	1875	1992
star.sweptmesher.ui.DirectedCadTemplateSourceMeshNode	S4	6886	1408	1570
star.combustion.ui.LaminarFlameThicknessOptionsNode	S4	6530	1335	1498
star.resurfacer.SurfaceGrowthRate	S4	6720	1353	1416
star.cosimulation.common.ui.ExportValueSpecificationManagerNode	S4	7179	1400	1565
star.common.SimulationPartManager	S4	7904	1566	1632
star.radiation.pmc.S2sPMCRtPhysicsSolver	S4	8751	1892	1961
star.mapping.PostMapOperationOnFieldFunction	S4	6640	1304	1396
star.combustion.ui.FluidStreamNode	S4	6780	1369	1549
star.common.OversetDirectionSpecification	S4	7433	1461	1591
star.base.neo.NeoFileUtils	S4	8739	1734	1788
star.common.ui.CompositeArrayVectorProfileMethodNode	S4	7081	1392	1545
star.cadmodeler.vis.SelectSketchesState	S4	9124	1905	1991
star.cadmodeler.ui.PatternFeatureSkipOptionsPanel	S4	10462	2154	2319
star.cadmodeler.ShellFeature	S4	9524	1951	2050
star.base.report.SpatialFtDataSetFunction	S4	7423	1497	1562
star.coremodule.ui.ImportGeometryDialog.ImportGeometryPanel	S4	9347	1886	2006
star.battery.TabContacts	S4	7282	1470	1587
star.base.report.FieldSnapshotMonitor	S4	7370	1442	1526
star.quickobjects.SphereFeature	S4	6670	1367	1460
star.vis.ui.ActorManagerNode	S4	7808	1572	1750
star.electroniccooling.CustomHeatsinkDefinition	S4	8112	1688	1756
star.lagrangian.InjectorVelocityOption	S4	6997	1361	1511
star.sweptmesher.ui.DirectedMeshPartCollectionManagerNode	S4	7093	1406	1578
star.starice.ui.EditEngineParametersPanel	S4	11586	2410	2618
star.base.report.MonitorIntegralReport	S4	10783	2072	2157
star.surfacewrapper.ui.LeakDetectionActionsPanel	S4	10838	2243	2435
star.mdx.ui.MdxStudyParameterBaseNode	S4	8491	1707	1894
star.battery.RCElement	S4	8004	1634	1767
star.meshing.ui.QueryPartToleranceOptionsPanel	S4	11480	2342	2492
star.flow.FlowAnglesProfile	S4	6814	1322	1375
star.quickobjects.ui.QuickParametersPanel.ParameterValueField	S4	11884	2438	2607
star.vis.ui.ColorControlPoint	S4	10242	2133	2215
star.mdx.ui.tables.MdxSweepHelperPanel	S4	9521	1978	2129
star.cosimulation.link.common.ui.CoSimulationZoneNode	S4	7604	1511	1695
star.metrics.ui.BadCellCriterionNode	S4	6920	1385	1571
star.base.report.ui.CrossCorrelationFilterDataSetFunctionNode	S4	8074	1585	1763
star.cadmodeler.CanonicalSketchPlane	S4	7897	1651	1765
star.mdx.ui.MdxDesignSeedNode	S4	7708	1562	1744
star.coremodule.comparetool.ComparisonResults	S4	6783	1220	1305
star.quickobjects.ui.QuickSceneDrawableItemNode	S4	7148	1435	1613
star.common.ManagerWithFilterModel	S4	7457	1513	1578
star.material.ui.ComplexTableMaterialPropertyMethodNode	S4	6675	1329	1477
star.common.MixingPlaneConnectivityOption	S4	7047	1415	1550
star.lagrangian.dem.InjectorParticlePackingOption	S4	6547	1287	1474
star.common.CompositeCoordinateProfileMethod	S4	6581	1274	1331
star.battery.ThermalRunawayHeatReleaseModelDescription	S4	7987	1616	1710
star.flow.SkinFrictionCoefficientFunction	S4	7582	1442	1529
star.circuit.ui.CircuitInitialConditionManagerNode	S4	6599	1307	1454
star.cadmodeler.ui.TangentAdjacentFacesBoundaryConditionAction	S4	6599	1229	1401
star.vis.BoxWidgetCso	S4	9196	1875	2019
star.sweptmesher.ui.RotationalSweepCoarseningNode	S4	8277	1703	1893
star.fea.common.solvers.MumpsDirectPreconditionerBase	S4	7008	1362	1437
star.electromagnetism.magneticpotential.fem.HarmonicBalanceFeMagneticVectorPotentialSolver	S4	7135	1411	1474
star.electroniccooling.actions.ECadOdbImportAction	S4	6614	1264	1463
star.base.report.ui.DerivedDataViewFDSpectraNode	S4	7956	1688	1876
star.base.report.ui.FilterDataSetFunctionNode	S4	7244	1442	1599
star.vis.ui.ScalarWarpSurfaceNode	S4	6524	1332	1497
star.lagrangian.lagrangianpassivescalar.LagrangianPassiveScalarUserSourceOption	S4	6607	1352	1436
star.common.ui.BoundaryNode	S4	10292	2050	2241
star.common.ui.SolverStoppingCriterionManagerNode	S4	8065	1577	1797
star.base.report.ui.MonitorManagerNode	S4	7452	1483	1655
star.cadmodeler.ui.ReferenceCoordinateSystemByTransformationNode	S4	7102	1406	1571
star.meshing.ui.DNDTaskPane	S4	9970	2063	2227
star.vis.HighlightDisplayer	S5	26305	5377	5721
star.cadmodeler.ui.CreateNewBodyGroupPanel	S5	18131	3773	4109
star.starice.ui.InjectorNozzleEditPanel	S5	12361	2576	2812
star.cadmodeler.SweepMerge	S5	12512	2669	2932
star.common.ui.SolutionExporterFileChooser	S5	12954	2616	2859
star.mdx.ui.MdxSurrogateResidualView	S5	13862	2766	2928
star.cadmodeler.BodyPatternAlongPath	S5	17432	3545	3762
star.meshing.ui.PatchFillerOptionsPanel	S5	12323	2531	2752
star.vis.ui.WarpCreatePanel	S5	14190	2923	3179
